PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000910,Idleb,Jisr-Ash-Shugur,Obein,Al Madrasah *,"35.83545988107627,36.18760364721145",IS,10,15,24,8,57,0.63,0.8,0.85,0.91,0.86,0.65,,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000911,Idleb,Jisr-Ash-Shugur,Obein,Al Talah *,"35.832488795934935,36.19113349995645",IS,35,30,22,33,120,0.55,0.5,0.87,0.86,0.86,0.6,,2.Mostly covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000912,Idleb,Jisr-Ash-Shugur,Obein,Al Makbarah(Badama)*,"35.83530875064947,36.20492219291551",IS,65,75,75,70,285,0.75,0.5,0.9,0.85,0.86,0.7,,2.Mostly covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000913,Idleb,Jisr-Ash-Shugur,Obein,Kharmash*,"35.83932621905561,36.1750852203036",IS,90,100,95,100,385,0.66,0.5,0.9,0.87,0.87,0.65,,2.Mostly covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000908,Idleb,Jisr-Ash-Shugur,Darkosh,Alghazala *,"36.030083,36.389917",IS,414,376,395,365,1550,0.55,0.1,0.65,0.25,0.2,0.4,,2.Mostly covered,3. Partially covered,2.Mostly covered,3. Partially covered,3. Partially covered,3. Partially covered
CP001021,Idleb,Jisr-Ash-Shugur,Darkosh,Oion Aara*,"35.93074,36.38496",IS,690,620,770,715,2795,0.5,0.25,0.8,0.1,0.1,0.4,,Not covered - N/A,3. Partially covered,2.Mostly covered,3. Partially covered,3. Partially covered,3. Partially covered
CP000896,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jinan*,"35.93594200909138,36.19024308398366",IS,164,142,185,149,640,0.56,0.35,0.86,0.86,0.89,0.6,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000897,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Katea Jinan * ,"35.93608898576349,36.19111287407577",IS,184,169,192,191,736,0.6,0.19,0.91,0.85,0.88,0.56,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000898,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Itshgiz * ,"35.915721299332375,36.17994069814598",IS,218,211,261,231,921,0.55,0.2,0.91,0.85,0.87,0.41,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,3. Partially covered
CP000899,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Mezgileh *,"35.92651144601405,36.19088530540466",IS,71,111,88,86,356,0.5,0.3,0.86,0.89,0.85,0.45,,Not covered - N/A,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,3. Partially covered
