governorate,district,Sub District,Community,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,Protection,CP,GBV,Health**,Education
Idleb,Harim,Dana,Aqrabat,Salam,Al Midan,"36.275549,36.749772",IS,292,306,258,255,1111,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Al Motasem,"36.337221,36.734609",IS,80,135,104,85,404,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Al Ma'ra,Heish,Maysruneh,Sanjar,Al Muaysruneh,"35.5044447067398,36.6519838432137",IS,67,81,53,47,248,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Al Muhajreen,"36.296913,36.668742",IS,174,183,126,136,619,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Mustakbal,"36.411689,36.620569",IS,247,257,170,167,842,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Nahda,"36.2499245350001,36.7478536000001",IS,355,428,738,704,2225,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Al Nahda Aleslamia,"36.334428,36.667618",IS,210,218,183,131,743,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Nahdha,"36.038226,36.506494",IS,94,116,102,102,414,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Salam,Al Nasser,"36.37651,36.66576",IS,430,488,375,353,1646,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,Available in Al Jolan,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Nawaeer,"36.246069,36.728972",IS,461,618,320,321,1719,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Nour,"36.360433,36.663512",IS,196,174,153,142,666,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Sarmada,Sarmada,Al Nouri,"36.192317,36.684225",IS,232,284,255,242,1014,0.8,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Al Radwan,"36.219872732,36.758564884",IS,68,65,58,51,241,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Al Ma'ra,Tamanaah,Raffa,Sanjar,Al Raffa Al Janobi,"35.5310375050853,36.7989657252436",IS,81,84,56,47,268,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Tamanaah,Raffa,Sanjar,Al Raffa Al Shamali,"35.4709558727887,36.8705902503068",IS,28,24,13,15,80,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Tamanaah,Raffa,Sanjar,Al Raffa Al Sharqi,"35.5766373379964,36.8647366614769",IS,140,146,90,80,456,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Al Rahmah,"36.321732,36.748348",IS,223,208,144,137,713,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Yes
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.148023,36.804881",IS,350,431,181,160,1122,1,1,0.5,1,0.5,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,2. Mostly covered,1. Fully covered,No,No,No,Available in Nour Al Houda,in Deir Hassan village
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Al Rayan,"36.735028,37.027448",IS,,,,,9456,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,Yes,No,Yes,,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Al Resalah (Al Armuda),"36.459368,37.043502",IS,2664,2692,2741,2336,10433,0.7,1,1,1,0.5,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,Yes,No,No,,
