PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000438,Idleb,Harim,Deir Hassan,Lastom Wahdakom,"36.2482611,36.7310556",IS,243,236,260,226,965,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000439,Idleb,Harim,Deir Hassan,Morek,"36.2466167,36.7361528",IS,2615,2230,1000,760,6605,0.6,0.6,0.6,0.6,0.6,0.6,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered
CP000472,Idleb,Harim,Deir Hassan,Nasaem Al Khayr 2,"36.23749954,36.75091708",IS,700,705,479,466,2350,0.8,1,0,0,0,1,2. Mostly covered,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000276,Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.240626,36.743817",IS,375,321,346,270,1312,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000277,Idleb,Harim,Deir Hassan,Nour Al Houda,"36.238763,36.749292",IS,1310,1240,825,740,4115,0.6,0.6,0.6,0.6,0.6,0.6,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered
CP000568,Idleb,Harim,Deir Hassan,Mulhak Nour Al Houda,"36.23492,36.7588",IS,410,380,335,290,1415,0.3,0.3,1,1,1,1,3. Partially covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000440,Idleb,Harim,Deir Hassan,Nour Al Kheir,"36.2487417,36.7556306",IS,562,517,468,403,1950,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000411,Idleb,Harim,Deir Hassan,Qariat Al Iman,"36.238664,36.750429",IS,241,241,164,159,805,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000471,Idleb,Harim,Deir Hassan,Qyam,"36.24308349,36.74547592",IS,368,348,299,205,1220,0.71,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000338,Idleb,Harim,Deir Hassan,Reef Aleppo,"36.2505944,36.7473222",IS,135,125,106,98,464,0.25,0.25,1,1,1,1,3. Partially covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000328,Idleb,Harim,Deir Hassan,Sons of Mehin (Abna Mehin),"36.245013,36.735554",IS,1190,1240,1080,848,4358,0.58,0.58,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
