governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Al Ma'ra,Sanjar,Sahal,"35.5201342643911,36.8910701242293",IS,90,84,57,49,280,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Tal Shih,"35.5967888426678,36.7213725345937",IS,164,156,115,105,540,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Aqrabat,Aqrabat (Ahl Al-Athar),"36.221512,36.629882",IS,174,178,186,152,690,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Al Dana,Al Dana,"36.22069,36.705731",IS,74,73,54,55,256,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Atmeh,Atmeh,"36.389744,36.686102",IS,15004,17204,13484,11881,57573,0.9,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.106156,36.387444",IS,94,116,102,102,414,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Ummahat,"36.158152,36.554392",IS,93,89,79,69,330,1,,1,1,1,1,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Aycha,"36.267583,36.692415",IS,298,287,255,223,1063,,,,,1,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Othman Bin Affan,"36.130003,36.650884",IS,26,34,35,28,123,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),"36.205383,36.79514",IS,323,311,276,242,1152,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Shahba'2,"36.21557,36.65747",IS,83,80,72,63,298,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Taiba City,"36.214942,36.594669",IS,399,384,342,299,1424,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Termanin,"36.2814669150001,36.7576635140001",IS,31,30,26,23,110,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Big Hir Jamus,Al Safsafa,"36.181181,36.482508",IS,468,450,438,363,1719,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Big Hir Jamus,Al Taakhi,"36.066364,36.390104",IS,405,377,370,304,1456,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.250146,36.699867",IS,99,110,520,89,818,0.5,1,1,0.8,1,,3. Partially covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.324594,36.68411",IS,,,,,,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Ezza,"36.150756,36.833892",IS,,,,,,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
