PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000276,Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.23827348,36.75040183",IS,624,599,483,418,2124,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000277,Idleb,Harim,Deir Hassan,Nour Al Houda,"36.23853474,36.74951124",IS,1177,1129,910,786,4002,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000568,Idleb,Harim,Deir Hassan,Mulhak Nour Al Houda * ,"36.24064012,36.74890789",IS,1094,1049,846,731,3720,0.3,0,1,0,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000440,Idleb,Harim,Deir Hassan,Nour Al Kheir,"36.24827694,36.75523424",IS,1695,1626,1311,1134,5766,0.71,0.71,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000411,Idleb,Harim,Deir Hassan,Qariat Al Iman ,"36.23799375,36.75100665",IS,288,276,222,192,978,1,0,1,0,1,1,,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000471,Idleb,Harim,Deir Hassan,Qyam,"36.2430508,36.74573423",IS,919,882,711,614,3126,0.95,0.95,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000338,Idleb,Harim,Deir Hassan,Reef Aleppo,"36.22739372,36.77459222",IS,132,127,102,89,450,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000328,Idleb,Harim,Deir Hassan,Sons of Mehin (Abna Mehin),"36.24047401,36.73910679",IS,1132,1086,876,758,3852,0.96,0.96,1,1,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000339,Idleb,Harim,Deir Hassan,Tal Al Karama,"36.18713349,36.75441032",IS,1411,1354,1091,944,4800,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000555,Idleb,Harim,Deir Hassan,Tal Fakhar * ,"36.19307967,36.74602636",IS,370,330,322,295,1317,0.3,0,1,1,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
