governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Salqin,Allani,Salqin,Al Askari,36.3911,36.1621,"36.162,36.391",CC,60,50,12,10,132,,1,1,1,1,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Kafarna,Kafrina,Kadimoon,36.4,36.17,"36.17,36.4",PC,496,447,303,301,1547,,1,1,1,,,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Msheirfeh (Salqin),Salqin,Al Meshrefeiah school,36.3785,36.1721,"36.172,36.378",CC,18,15,17,15,65,1,,,1,,,1. Fully covered,4. Not covered,4. Not covered,1. Fully covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Msheirfeh (Salqin),Salqin,Almshfa Almidani,36.3805,36.1741,"36.174,36.380",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Jeser Maksour,Salqin,Jeser Almaksour ,36.3828,36.1798,"36.179,36.382",CC,9,9,8,6,32,1,,0.5,1,1,1,1. Fully covered,4. Not covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Kafarna,Kafrina,Samidoon,36.41,36.18,"36.18,36.41",PC,578,570,587,440,2175,,1,1,1,,,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Kafarna,Kafrina,Ayidoun,36.4303,36.1823,"36.182,36.430",PC,546,549,546,431,2072,,1,1,1,,,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Sarmada,Bab Al Hawa,Taiba City,36.6908,36.1824,"36.182,36.690",IS,402,387,345,302,1436,,1,1,1,,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Sarmada,Sarmada,Al Nouri,36.6904,36.1836,"36.183,36.690",IS,235,287,258,245,1025,0.8,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Sarmada,Sarmada,Taibah,36.7239,36.1866,"36.186,36.723",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
