PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000415,Idleb,Harim,Deir Hassan,Al Ghoraba Homs,"36.238751,36.781131",IS,127,116,91,74,408,0.25,0,1,1,1,1,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.2440778,36.7763556",IS,376,343,268,219,1206,0.25,0,1,1,1,1,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.25849251,36.76628471",IS,758,690,539,442,2429,0.61,0.45,1,1,1,1,2.Mostly covered,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.26768005,36.7474807",IS,97,89,69,57,312,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000337,Idleb,Harim,Deir Hassan,Al Mashhad,"36.26494926,36.76403234",IS,210,191,149,122,672,0.6,0.6,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1918589,36.75431325",IS,66,76,50,43,235,1,0,0,0,0,1,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.19309839,36.75575566",IS,213,194,152,124,683,0.4,1,1,1,1,1,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000469,Idleb,Harim,Deir Hassan,Omar Al Faroq,"36.18505592,36.75393559",IS,279,254,198,163,894,0.3,1,1,1,1,1,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000454,Idleb,Harim,Kafr Loseen,Al Farja,"36.2444083,36.7246611",IS,275,283,253,210,1021,1,0.2,0,0,0,0,1.Fully covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000455,Idleb,Harim,Kafr Loseen,Al Qunetrat,"36.24351555,36.72264978",IS,135,123,100,92,450,0.35,0.6,1,0.9,1,0.9,3. Partially covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,2.Mostly covered
CP000194,Idleb,Harim,Kafr Loseen,Damaet Nazeh,"36.24823828,36.71037192",IS,484,441,345,282,1552,0.4,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000491,Idleb,Harim,Kafr Loseen,Khattab,"36.25006238,36.70788668",IS,438,398,311,255,1402,0.35,0.9,0,0,0,0,3. Partially covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
