PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.261283,36.747399",IS,0,0,0,0,486,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000489,Idleb,Harim,Deir Hassan,Al Jesat,"36.2536289,36.7383722",IS,128,132,90,80,430,0,0,0,0,0,0.19,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
CP000476,Idleb,Harim,Deir Hassan,Al Shomaria,"36.259667,36.753",IS,0,0,0,0,276,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000475,Idleb,Harim,Deir Hassan,Babes,"36.254629,36.756656",IS,0,0,0,0,72,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24498,36.74167",IS,0,0,0,0,1051,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000468,Idleb,Harim,Deir Hassan,Defaf Al Furat,"36.202574,36.779048",IS,0,0,0,0,135,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000474,Idleb,Harim,Deir Hassan,Halab Alshahba,"36.242779,36.740899",IS,0,0,0,0,282,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.2409,36.76373",IS,0,0,0,0,659,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000473,Idleb,Harim,Deir Hassan,Khan Sheikhon,"36.248704,36.735755",IS,0,0,0,0,912,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000472,Idleb,Harim,Deir Hassan,Nasaem Al Khayr 2,"36.24461954,36.75920708",IS,0,0,0,0,1300,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000471,Idleb,Harim,Deir Hassan,Qyam,"36.23866349,36.73596592",IS,0,0,0,0,564,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000461,Idleb,Harim,Deir Hassan,Sons of Al Jazeera wa Al Furat,"36.202639,36.77759",IS,0,0,0,0,400,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000462,Idleb,Harim,Deir Hassan,Al Gharbal,"36.19449,36.762211",IS,0,0,0,0,335,0.1,0,0,0,0,0,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.194216,36.746368",IS,0,0,0,0,462,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1981294,36.7614922",IS,0,0,0,0,285,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000469,Idleb,Harim,Deir Hassan,Omar Al Farouk,"36.19478413,36.75172127",IS,0,0,0,0,564,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000467,Idleb,Harim,Karama,Al Ber Wa Al Taqwaa (Karama) ,"36.2996483,36.705045",IS,0,0,0,0,315,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000482,Idleb,Harim,Karama,Al Hidaya Al Namouthajia,"36.287495,36.7101261",IS,0,0,0,0,783,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000483,Idleb,Harim,Karama,Al Zahra',"36.3030833,36.7055272",IS,0,0,0,0,461,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000485,Idleb,Harim,Liyajlikum,Al Sharqia,"36.2952761,36.7084933",IS,78,243,243,144,708,0,0,0,0,0,0.26,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
CP000486,Idleb,Harim,Salam,Al Badiah (Al Midan Extension) ,"36.2704572,36.7378217",IS,327,338,206,183,1054,0,0,0,0,0,0.26,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
CP000487,Idleb,Harim,Salam,Al Qala'a,"36.2812844,36.7228928",IS,69,62,68,59,258,0,0,0,0,0,0.26,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
CP000488,Idleb,Harim,Salam,Al Shomoukh,"36.293985,36.7304678",IS,0,0,0,0,547,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000484,Idleb,Harim,Salam,Fatih Halab,"36.2668833,36.7349833",IS,0,0,0,0,219,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000456,Idleb,Harim,Sarmada,Al Sufara'a,"36.155784,36.741726",IS,0,0,0,0,130,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000490,Idleb,Harim,Sarmada,Al Wafa (Sarmada) ,"36.1620678,36.7583856",IS,384,383,375,299,1441,0,0,0,0,0,0.2,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
CP000453,Idleb,Harim,Sarmada,Islamuna 2,"36.2089633,36.7280811",IS,0,0,0,0,1650,0,0,0,0,0,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered
CP000481,Idleb,Jisr-Ash-Shugur,Darkosh,Al Farouk (Darkosh) ,"35.9768867,36.3594122",IS,405,521,426,362,1714,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000480,Idleb,Jisr-Ash-Shugur,Darkosh,Sheikh Essa,"35.9103711,36.375985",IS,193,236,166,105,700,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000459,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 1,"36.001812,36.370095",IS,173,181,152,135,641,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000460,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 2,"36.008533,36.370083",IS,123,127,88,72,410,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000451,Idleb,Harim,Bab Al Hawa,Umut Camp,"36.2244256,36.7090144",PC,1685,1452,1139,536,4812,1,1,0.8,0.7,1,0.5,1. Fully covered,1. Fully covered,2. Mostly covered,2. Mostly covered,1. Fully covered,3. Partially covered
CP000452,Idleb,Harim,Bab Al Hawa,Yalniz Degilsiniz 2,"36.227645,36.7192761",PC,191,185,132,110,618,1,0.8,0.5,0.5,0.4,0.5,1. Fully covered,2. Mostly covered,3. Partially covered,3. Partially covered,3. Partially covered,3. Partially covered
