PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000408,Idleb,Harim,Deir Hassan,Al Ezza,"36.150756,36.833892",IS,998,822,768,837,3425,1,0,0.65,0.65,1,0,1. Fully covered,4. Not covered - N/A,2. Mostly covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.251214,36.74944",IS,0,0,0,0,2140,1,0,1,1,1,0.6,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000406,Aleppo,Jebel Saman,Atareb,Alabiad (including Allhyba),"36.164894,36.787968",IS,667,738,464,400,2269,1,1,1,0,1,1,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered
CP000405,Idleb,Harim,Sarmada,Al Fateh,"36.251039,36.70816",IS,242,188,136,129,695,0.5,0,0,1,0,0,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000404,Idleb,Harim,Sarmada,Al Faroq Omar,"36.209293,36.708312",IS,293,279,205,193,970,0.5,0,0,0,0,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered
CP000403,Idleb,Harim,Sarmada,Al Faraj (Al Ghab),"36.200495,36.616129",IS,372,359,330,317,1378,0.5,0,0,1,0,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000402,Idleb,Idleb,Maaret Tamsrin,Maaret Elekhwan Transit/Reception Centre,"36.07669,36.692203",T/RC,79,70,66,108,322,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000390,Idleb,Harim,Harim,Al Madenh Monarh (Harim),"36.198353731,36.498175569",IS,76,80,70,66,292,0.95,1,1,1,1,0.88,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000389,Idleb,Harim,Salam,Al Madiq 2,"36.308975367,36.769929742",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000388,Idleb,Harim,Salam,Al Madiq 1,"36.302975367,36.719929742",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000387,Idleb,Harim,Salam,Al Awdah,"36.289666,36.731603",IS,47,58,42,36,183,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000386,Idleb,Harim,Qah,Bab Al Hawa extension (Al Mutahaboun Bellah),"36.289368,36.729199",IS,336,370,314,277,1297,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000385,Idleb,Harim,Karama,Shuhada Sahl Al Gab,"36.3097705710001,36.689845776",IS,316,284,311,256,1167,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000384,Idleb,Harim,Karama,Nour Hama,"36.292975,36.704311",IS,48,44,36,37,165,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
