governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Nahdha,36.434594,36.122126,"36.122126,36.434594",IS,94,116,102,102,414,,1,1,1,1,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Deir Hassan - Darhashan,Bab Al Hawa,Al Qaqaa (renamed as Al Rahmah Lahl Al Gab),36.752781,36.236023,"36.236023,36.752781",IS,,,,,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Sadaka,36.712421,36.201069,"36.201069,36.712421",IS,160,153,136,119,568,,,1,1,,1,4. Not covered,4. Not covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Ummahat,36.555092,36.223242,"36.223242,36.555092",IS,93,89,79,69,330,1,,1,1,1,1,1. Fully covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Ariha,36.7226,36.2094,"36.2094,36.7226",IS,69,67,65,64,265,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Aycha,36.691215,36.218453,"36.218453,36.691215",IS,298,287,255,223,1063,,,,,1,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,1. Fully covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Bab Al Hawa Upper/2 (moved to Imdad),36.695117,36.230393,"36.230393,36.695117",IS,,,,,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Othman Bin Affan,36.729064,36.206403,"36.206403,36.729064",IS,39,36,32,28,135,,,,,,1,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),36.69619,36.228653,"36.228653,36.69619",IS,323,311,276,242,1152,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Shahba'2,36.7153,36.2127,"36.2127,36.7153",IS,83,80,72,63,298,,1,1,1,1,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
