governorate,district,Sub District,Community,cluster,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,"36.2398343,36.7550489",IS,103,94,70,80,347,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,"36.2341843,36.7653844",IS,94,84,96,93,367,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,"36.2338707,36.7670141",IS,186,301,95,95,677,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,"36.2559321,36.7591229",IS,75,72,64,56,267,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Hezreh - Hezri,Deir Hassan,"36.2273881,36.7846533",IS,,,,,986,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.301583,36.6952719",IS,253,215,161,139,768,1,1,1,1,1,0.2,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,
Idleb,Harim,Dana,Atma,Karama,"36.3005183,36.698685",IS,200,198,117,115,630,0.9,1,1,1,1,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.2987386,36.6922371",IS,169,127,110,97,503,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,"36.2985399,36.7028055",IS,305,277,274,238,1094,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,"36.2980252,36.6996397",IS,131,139,105,121,496,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.2907861,36.7078345",IS,211,143,176,139,670,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.2861882,36.7003379",IS,254,253,147,144,797,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.2941339,36.7073247",IS,233,199,144,127,702,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,"36.3031352,36.6843464",IS,,,,,287,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.298956,36.701079",IS,185,146,117,95,543,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.3046685,36.7009658",IS,283,297,199,172,951,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.2977037,36.7089288",IS,244,233,171,159,807,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.3007603,36.6926121",IS,170,184,166,190,710,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,"36.3161256,36.687186",IS,,,,,400,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.2962224,36.7038294",IS,133,137,137,103,510,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,"36.3013805,36.6996575",IS,142,150,107,122,521,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,"36.2995238,36.6968581",IS,334,369,297,301,1301,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,"36.2975751,36.6865988",IS,178,214,145,146,683,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
