governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Al Ma'ra,Sanjar,Mreijeb Slejah,"35.578157,37.220199",IS,98,119,101,82,400,0.6,0.5,0.1,,1,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Mreijeb Elmashad,"35.438359,36.962822",IS,138,158,130,107,533,0.4,0.5,0.1,,1,1,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Lweibdeh,"35.623064,36.956973",IS,95,92,62,95,344,0.6,0.5,0.25,,1,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Ojeh,"35.6938456,37.1176592",IS,75,98,44,31,248,0.75,0.25,0.1,,0.25,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Qatra,"35.659379,36.909826",IS,174,172,185,175,706,0.75,0.25,0.1,,1,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Rasm Elabed,"35.542477,36.990267",IS,211,241,141,122,715,0.75,0.75,0.25,,1,,2. Mostly covered,2. Mostly covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Ramleh,"35.636225,37.170093",IS,76,81,28,28,213,0.4,0.5,0.2,,1,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Re'a Alhawa,"35.55888783,37.0141243481445",IS,162,141,79,83,465,0.5,0.25,0.1,,1,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Tal Halawa,"35.43165578,37.19855126",IS,430,461,355,330,1576,0.4,0.25,0.1,,1,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Tellemara,"35.505318,37.137567",IS,22,19,23,24,88,0.5,0.25,0.1,,1,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Farja Al Gharbi,"35.5895747,36.90159235",IS,250,232,166,161,809,0.75,0.25,0.1,,0.2,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Farja Al Janobi,"35.5817882209494,36.7837414300437",IS,30,25,21,20,96,0.75,0.25,0.1,,0.25,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Janobi,"35.5870075050853,36.7415257252436",IS,81,84,56,47,268,0.75,0.25,0.1,,0.5,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Shamali,"35.5858658727887,36.8818002503068",IS,28,24,13,15,80,0.75,0.5,0.1,,0.5,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Sharqi,"35.5461073379964,36.8588766614769",IS,160,143,93,51,447,0.75,0.5,0.25,,0.5,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Sahal,"35.5201342643911,36.8910701242293",IS,91,85,56,47,279,0.5,0.5,0.1,,0.5,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Tal Shih,"35.5967888426678,36.7213725345937",IS,163,157,115,102,537,0.5,0.5,0.25,,0.5,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Aqrabat,Aqrabat (Ahl Al-Athar),"36.221512,36.629882",IS,174,178,186,152,690,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Al Dana,Al Dana,"36.22069,36.705731",IS,87,123,99,72,381,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Atmeh,Atmeh,"36.389744,36.686102",IS,16124,18257,14629,12652,61662,0.9,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.106156,36.387444",IS,107,146,147,131,531,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Ummahat,"36.158152,36.554392",IS,93,89,79,69,330,1,,1,1,1,1,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Aycha,"36.267583,36.692415",IS,298,287,255,223,1063,,,,,1,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Othman Bin Affan,"36.130003,36.650884",IS,24,42,38,34,138,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),"36.205383,36.79514",IS,555,550,359,248,1712,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Shahba'2,"36.21557,36.65747",IS,76,119,115,109,419,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Bab Al Hawa,Taiba City,"36.214942,36.594669",IS,437,670,429,257,1793,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Termanin,"36.2814669150001,36.7576635140001",IS,26,31,36,31,124,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Big Hir Jamus,Al Safsafa,"36.181181,36.482508",IS,587,456,518,458,2019,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Big Hir Jamus,Al Taakhi,"36.066364,36.390104",IS,350,354,352,284,1340,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.250146,36.699867",IS,184,208,180,133,705,0.15,1,1,1,0.15,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.324594,36.68411",IS,509,528,441,362,1840,0.7,1,1,1,0.7,0.7,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,2. Mostly covered
Idleb,Harim,Deir Hassan,Al Ezza,"36.150756,36.833892",IS,285,296,195,164,940,0.15,,,,0.15,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Naief,"36.296282,36.748782",IS,76,79,51,41,247,0.15,1,1,1,0.5,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.209653,36.665601",IS,431,445,331,271,1478,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.165956,36.657787",IS,149,154,149,130,582,0.2,1,1,1,0.2,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Khan Toman,"36.280068,36.704645",IS,36,26,25,19,106,0.25,1,1,1,0.25,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.214366,36.774317",IS,492,566,464,398,1920,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Nour Al Houda,"36.213076,36.685287",IS,306,358,275,244,1183,0.25,1,1,1,0.25,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Qariat Al Iman ,"36.302174,36.730849",IS,169,171,130,4,474,,1,1,1,0.3,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Sons of Mehin,"36.249493,36.760724",IS,593,690,755,645,2683,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.277729,36.755846",IS,189,163,150,129,631,0.3,1,1,1,1,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Nahda,"36.3177745350001,36.7011336000001",IS,592,637,465,406,2100,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Zamzam,"36.199996,36.706463",IS,139,105,95,3,342,0.3,1,1,1,0.3,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Ebtieen,"36.1887045350001,36.7421736000001",IS,114,99,76,67,356,0.35,1,1,1,0.35,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Mashhad,"36.1811645350001,36.7420136",IS,124,70,70,51,315,0.1,1,1,1,0.1,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Reef Aleppo,"36.1407745350001,36.7593336000001",IS,37,51,41,32,161,0.25,1,1,1,0.25,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Tal Al Karama,"36.1943745350001,36.7625536000001",IS,154,177,110,96,537,0.35,,,,0.35,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Wdhehee,"36.24321604,36.72528357",IS,116,109,93,65,383,0.35,,,,0.35,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.223600207,36.7063965120001",IS,191,207,101,96,595,0.2,1,1,,0.2,,3. Partially covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Karama,Ahel Al Sham,"36.300047,36.726047",IS,200,198,117,115,630,0.9,1,0.8,1,1,,2. Mostly covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Ahel Halep,"36.346836,36.703266",IS,179,133,115,102,529,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ahrar,"36.228648,36.640012",IS,290,265,261,227,1043,1,1,0.8,1,,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Amal Bil Awdah,"36.271983,36.752652",IS,123,131,98,115,467,1,1,0.8,1,,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Aqsa,"36.363769,36.788911",IS,211,143,176,139,669,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Asil,"36.314861,36.658513",IS,247,247,143,140,777,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Ataa,"36.353285,36.622473",IS,244,209,148,130,731,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ayade Al Baydaa,"36.2322905710001,36.641295776",IS,110,113,94,84,401,,1,0.8,1,,,4. Not covered - N/A,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Fadal,"36.292917,36.728794",IS,173,136,113,91,513,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Faraj,"36.279604,36.700114",IS,244,255,171,148,818,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Farouk,"36.237194,36.753152",IS,221,211,155,143,730,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Ghab Al Mankoub,"36.2112705710001,36.631485776",IS,148,160,145,166,619,1,1,0.8,1,,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Haneen,"36.3035005710001,36.676635776",IS,114,118,97,87,416,,1,0.8,1,,,4. Not covered - N/A,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Haq,"36.195281,36.725395",IS,139,143,143,109,534,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Hijaz,"36.319834,36.69374",IS,125,132,94,108,459,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhaa,"36.296511,36.688563",IS,395,436,351,356,1538,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhlas,"36.226507,36.639933",IS,282,339,229,231,1081,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
